p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
0.0266659198534917,1e-06,1,1,1,0,0,0,0,34.3293650817605,0.973068745842318,10,0,0.297694237273459,2.66659198534918e-05,1e-06
0.0302887274020519,1e-06,1,1,1,0,0,0,0,34.9052077691539,0.969450647943571,10,0,0.3329771983486,3.02887274020519e-05,1e-06
0.0344037262796949,1e-06,1,1,1,0,0,0,0,35.5589742179669,0.965340998564469,10,0,0.373053670332828,3.44037262796949e-05,1e-06
0.0390777851514482,1e-06,1,1,1,0,0,0,0,36.3011612116376,0.960673015969249,10,0,0.418574895245958,3.90777851514483e-05,1e-06
0.0443868573981775,1e-06,1,1,1,0,0,0,0,37.1436655395862,0.95537084551644,10,0,0.470280592254596,4.43868573981775e-05,1e-06
0.0504172153577933,1e-06,1,1,1,0,0,0,0,38.0999666337066,0.949348327022172,10,0,0.529010978096608,5.04172153577934e-05,1e-06
0.0572668522493435,1e-06,1,1,1,0,0,0,0,39.1853318219117,0.942507594658581,10,0,0.595720420589479,5.72668522493436e-05,1e-06
0.0650470745612335,1e-06,1,1,1,0,0,0,0,40.4170466343038,0.934737486635696,10,0,0.671492947091875,6.50470745612335e-05,1e-06
0.0738843107798572,1e-06,1,1,1,0,0,0,0,41.8146727435483,0.925911738824157,10,0,0.757559859930634,7.38843107798572e-05,1e-06
0.0839221658504515,1e-06,1,1,1,0,0,0,0,43.4003362332194,0.915886932965154,10,0,0.855319745043616,8.39221658504515e-05,1e-06
0.0953237547551269,1e-06,1,1,1,0,0,0,0,45.1990489461056,0.904500166126055,10,0,0.966361198978507,9.5323754755127e-05,1e-06
0.108274353128682,1e-06,1,1,1,0,0,0,0,47.2390656412796,0.891566403530386,10,0,1.09248864356096,0.000108274353128682,1e-06
0.122984407984663,1e-06,1,1,1,0,0,0,0,49.5522795471974,0.876875471745717,10,0,1.23575164772,0.000122984407984663,1e-06
0.139692957475923,1e-06,1,1,1,0,0,0,0,52.1746585886626,0.860188643368796,10,0,1.39847823294987,0.000139692957475923,1e-06
0.158671515260728,1e-06,1,1,1,0,0,0,0,55.1467240222422,0.841234757709111,10,0,1.58331270362158,0.000158671515260728,1e-06
0.1802284825953,1e-06,1,1,1,0,0,0,0,58.5140723502308,0.819705814432074,10,0,1.79325861688603,0.0001802284825953,1e-06
0.204714159849232,1e-06,1,1,1,0,0,0,0,62.3279400820776,0.795251968558572,10,0,2.03172759042901,0.000204714159849232,1e-06
0.232526438880808,1e-06,1,1,1,0,0,0,0,66.6458090223647,0.767475845489737,10,0,2.3025947412033,0.000232526438880808,1e-06
0.264117268773252,1e-06,1,1,1,0,0,0,0,71.5320470864591,0.735926083676153,10,0,2.61026165601623,0.000264117268773253,1e-06
0.3,1e-06,1,1,1,0,0,0,0,77.0585759175834,0.70009,10,0,2.959727917244,3e-04,1e-06
1e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0528922447095,1,0,0,0.0528922447095477,1e-06,1.13585908787189e-06
1.13585908787189e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0542153928053,1,0,0,0.0542153928052816,1.13585908787189e-06,1.13585908787189e-06
1.29017586750115e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0557183025944,1,0,0,0.0557183025944213,1.29017586750115e-06,1.13585908787189e-06
1.46545798405418e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0574253963367,1,0,0,0.0574253963366674,1.46545798405418e-06,1.13585908787189e-06
1.66455376908235e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0593644142776,1,0,0,0.0593644142776467,1.66455376908235e-06,1.13585908787189e-06
1.89069852586359e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0615668654275,1,0,0,0.0615668654274548,1.89069852586359e-06,1.13585908787189e-06
2.14756710302813e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0640685395816,1,0,0,0.0640685395815581,2.14756710302813e-06,1.13585908787189e-06
2.4393336107892e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0669100889044,1,0,0,0.0669100889043906,2.4393336107892e-06,1.13585908787189e-06
2.77073925016626e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0701376885264,1,0,0,0.0701376885263661,2.77073925016626e-06,1.13585908787189e-06
3.14716935742468e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.073803786889,1,0,0,0.0738037868889988,3.14716935742468e-06,1.13585908787189e-06
3.57474091570274e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0779679580312,1,0,0,0.0779679580312274,3.57474091570274e-06,1.13585908787189e-06
4.06040195588842e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0826978696666,1,0,0,0.0826978696665817,4.06040195588842e-06,1.13585908787189e-06
4.61204446200864e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0880703827824,1,0,0,0.0880703827824297,4.61204446200864e-06,1.13585908787189e-06
5.23863261584172e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.0941728006298,1,0,0,0.0941728006297767,5.23863261584172e-06,1.13585908787189e-06
5.95034846472589e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.1011042873997,1,0,0,0.101104287399677,5.95034846472589e-06,1.13585908787189e-06
6.75875737966343e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.1089774796397,1,0,0,0.108977479639733,6.75875737966343e-06,1.13585908787189e-06
7.67699599241187e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.1179203165962,1,0,0,0.117920316596162,7.67699599241187e-06,1.13585908787189e-06
8.71998566553707e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.1280781192245,1,0,0,0.128078119224479,8.71998566553707e-06,1.13585908787189e-06
9.90467496431285e-06,1.13585908787189e-06,1,1,0,0,0,0,0,20.1396159516527,1,0,0,0.139615951652661,9.90467496431285e-06,1.13585908787189e-06
1.12503150706319e-05,1.13585908787189e-06,1,1,0,0,0,0,0,20.1527213034706,1,0,0,0.152721303470555,1.12503150706319e-05,1.13585908787189e-06
1.27787726143993e-05,1.13585908787189e-06,1,1,0,0,0,0,0,20.1676071364327,1,0,0,0.167607136432668,1.27787726143993e-05,1.13585908787189e-06
