group,year,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2,season
NJ-089-2017-H,2017,0,0,1754.18952507682,1,0,0,0,0,0,35083.7905015364,1754.18952507682,0,0,0,0,0,H
NJ-089-2017-L,2017,0,0,1754.18952507682,1,0,0,0,0,0,35083.7905015364,1754.18952507682,0,0,0,0,0,L
NY-100-2017-H,2017,4.18600244842799e-06,0,23889.14035097,1,0,0,0,0,0,478756.7191081,23889.14035097,0,0,973.912088700003,4.18600244842799e-06,0,H
NY-100-2017-L,2017,0,0,23889.14035097,1,0,0,0,0,0,477782.8070194,23889.14035097,0,0,0,0,0,L
NY-101-2017-H,2017,0,0,989.717283760329,1,0,0,0,0,0,19794.3456752066,989.717283760329,0,0,0,0,0,H
NY-101-2017-L,2017,0,0,989.717283760329,1,0,0,0,0,0,19794.3456752066,989.717283760329,0,0,0,0,0,L
NY-102-2017-H,2017,0,0,200.907139146567,1,0,0,0,0,0,4018.14278293134,200.907139146567,0,0,0,0,0,H
NY-102-2017-L,2017,0,0,200.907139146567,1,0,0,0,0,0,4018.14278293134,200.907139146567,0,0,0,0,0,L
NY-103-2017-H,2017,0,0,7452.61184964945,1,0,0,0,0,0,149052.236992989,7452.61184964945,0,0,0,0,0,H
NY-103-2017-L,2017,0,0,7452.61184964945,1,0,0,0,0,0,149052.236992989,7452.61184964945,0,0,0,0,0,L
NY-104-2017-H,2017,0,0,21980.8564203345,1,0,0,0,0,0,439617.12840669,21980.8564203345,0,0,0,0,0,H
NY-104-2017-L,2017,0,0,21980.8564203345,1,0,0,0,0,0,439617.12840669,21980.8564203345,0,0,0,0,0,L
NY-105-2017-H,2017,0,0,10271.3218403254,1,0,0,0,0,0,205426.436806508,10271.3218403254,0,0,0,0,0,H
NY-105-2017-L,2017,0,0,10271.3218403254,1,0,0,0,0,0,205426.436806508,10271.3218403254,0,0,0,0,0,L
NY-106-2017-H,2017,0,0,1289.77422661994,1,0,0,0,0,0,25795.4845323988,1289.77422661994,0,0,0,0,0,H
NY-106-2017-L,2017,0,0,1289.77422661994,1,0,0,0,0,0,25795.4845323988,1289.77422661994,0,0,0,0,0,L
NY-107-2017-H,2017,0,0,3609.98457075728,1,0,0,0,0,0,72199.6914151456,3609.98457075728,0,0,0,0,0,H
NY-107-2017-L,2017,0.000277009494195768,0,3609.98457075728,1,0,0,0,0,0,81938.8123021456,3609.98457075728,0,0,9739.12088700001,0.000277009494195768,0,L
NY-108-2017-H,2017,0,0,1364.53406899626,1,0,0,0,0,0,27290.6813799252,1364.53406899626,0,0,0,0,0,H
NY-108-2017-L,2017,0,0,1364.53406899626,1,0,0,0,0,0,27290.6813799252,1364.53406899626,0,0,0,0,0,L
