group,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,resid_risk1,resid_risk2,downsteam_NMC
2019-PA-High,0,3.79e-06,199865.6104,1,0,0,0,0,0,4026090.50543805,199865.6104,0,0,0,3.79e-06,28778.2974380486
2019-RI-High,0,0,16538.8232,1,0,0,0,0,0,330776.464,16538.8232,0,0,0,0,0
2019-SC-High,0,1.34e-06,80382.1083,1,0,0,0,0,0,1611734.32032787,80382.1083,0,0,0,1.34e-06,4092.15432786548
2019-SD-High,0,8.61e-05,13811.3625,1,0,0,0,0,0,321405.300680852,13811.3625,0,0,0,8.61e-05,45178.0506808517
2019-TN-High,0,3.04e-06,106617.5756,1,0,0,0,0,0,2144665.25822925,106617.5756,0,0,0,3.04e-06,12313.7462292501
2019-TX-High,1.38065e-08,7.16e-06,452685.8644,1,0,0,0,0,0,9176917.76604942,452685.8644,0,0,1.38065e-08,7.16e-06,123200.478049424
2019-UT-High,6.24355e-08,4.54e-05,50051.6562,1,0,0,0,0,0,1087393.63377807,50051.6562,0,0,6.24355e-08,4.54e-05,86360.5097780669
2019-VT-High,0,0,9741.763,1,0,0,0,0,0,194835.26,9741.763,0,0,0,0,0
2019-VA-High,2.34509e-08,4.87e-06,133257.1615,1,0,0,0,0,0,2689828.79675884,133257.1615,0,0,2.34509e-08,4.87e-06,24685.5667588368
2019-WA-High,0,4.55e-06,118884.2794,1,0,0,0,0,0,2398236.14696957,118884.2794,0,0,0,4.55e-06,20550.5589695708
2019-WV-High,0,0,27979.1331,1,0,0,0,0,0,559582.662,27979.1331,0,0,0,0,0
2019-WI-High,0,2.38e-06,90900.2754,1,0,0,0,0,0,1826224.71595572,90900.2754,0,0,0,2.38e-06,8219.20795572331
2019-WY-High,0,3.59e-05,9035.6288,1,0,0,0,0,0,193036.262512321,9035.6288,0,0,0,3.59e-05,12323.6865123206
2019-PR-High,8.7497e-06,0,39023,1,0,0,0,0,0,783785.320985853,39023,0,0,8.7497e-06,0,3325.32098585295
2019-AL-Low,0,6.12e-08,76548.8912,1,0,0,0,0,0,1531155.80684282,76548.8912,0,0,0,6.12e-08,177.982842816575
2019-AK-Low,0,8.21e-08,11420.9353,1,0,0,0,0,0,228454.329176368,11420.9353,0,0,0,8.21e-08,35.6231763682955
2019-AZ-Low,0,1.44e-06,113635.8746,1,0,0,0,0,0,2278934.27579129,113635.8746,0,0,0,1.44e-06,6216.78379128603
2019-AR-Low,0,1.79e-07,47114.1819,1,0,0,0,0,0,942604.037993069,47114.1819,0,0,0,1.79e-07,320.399993068666
2019-CA-Low,2.02637e-08,3.25e-07,616867.7827,1,0,0,0,0,0,12345094.0303187,616867.7827,0,0,2.02637e-08,3.25e-07,7738.37631872951
2019-CO-Low,0,1.26e-06,89905.8174,1,0,0,0,0,0,1802420.08923957,89905.8174,0,0,0,1.26e-06,4303.74123956724
2019-CT-Low,0,1.68e-08,55661.5275,1,0,0,0,0,0,1113266.0764829,55661.5275,0,0,0,1.68e-08,35.5264829035125
2019-DE-Low,0,0,15202.4764,1,0,0,0,0,0,304049.528,15202.4764,0,0,0,0,0
2019-DC-Low,0,5.96e-07,11018.2062,1,0,0,0,0,0,220613.609303807,11018.2062,0,0,0,5.96e-07,249.485303807098
2019-FL-Low,0,5.59e-09,335312.0375,1,0,0,0,0,0,6706311.96127558,335312.0375,0,0,0,5.59e-09,71.211275581603
2019-GA-Low,3.77051e-08,7.92e-08,165760.0025,1,0,0,0,0,0,3315759.68077018,165760.0025,0,0,3.77051e-08,7.92e-08,559.630770179714
2019-HI-Low,0,0,22104.6996,1,0,0,0,0,0,442093.992,22104.6996,0,0,0,0,0
2019-ID-Low,1.12008e-07,3.7e-07,27899.7925,1,0,0,0,0,0,558418.46932882,27899.7925,0,0,1.12008e-07,3.7e-07,422.619328819518
2019-IL-Low,0,1.14e-07,197833.4179,1,0,0,0,0,0,3957525.18337212,197833.4179,0,0,0,1.14e-07,856.825372122012
2019-IN-Low,0,3.57e-08,105103.9069,1,0,0,0,0,0,2102220.69051658,105103.9069,0,0,0,3.57e-08,142.552516585128
2019-IA-Low,0,9.52e-08,49257.189,1,0,0,0,0,0,985321.933510723,49257.189,0,0,0,9.52e-08,178.153510723188
2019-KS-Low,0,1.24e-07,45482.8762,1,0,0,0,0,0,909871.792050488,45482.8762,0,0,0,1.24e-07,214.268050488083
2019-KY-Low,0,1.34e-08,69749.6453,1,0,0,0,0,0,1395028.41468706,69749.6453,0,0,0,1.34e-08,35.50868705959
2019-LA-Low,0,2.58e-07,72577.3199,1,0,0,0,0,0,1452257.78912923,72577.3199,0,0,0,2.58e-07,711.391129230884
2019-ME-Low,0,0,20985.9384,1,0,0,0,0,0,419718.768,20985.9384,0,0,0,0,0
2019-MD-Low,0,2.98e-08,94385.6086,1,0,0,0,0,0,1887819.03069283,94385.6086,0,0,0,2.98e-08,106.858692826918
2019-MA-Low,0,4.36e-08,107606.2727,1,0,0,0,0,0,2152303.69675672,107606.2727,0,0,0,4.36e-08,178.242756720716
2019-MI-Low,0,7.22e-08,155915.5589,1,0,0,0,0,0,3118738.85359287,155915.5589,0,0,0,7.22e-08,427.675592871945
2019-MN-Low,0,3.19e-08,88046.3569,1,0,0,0,0,0,1761033.84425711,88046.3569,0,0,0,3.19e-08,106.706257105961
2019-MS-Low,0,3.03e-07,46463.8609,1,0,0,0,0,0,929812.084916155,46463.8609,0,0,0,3.03e-07,534.866916154834
