group,year,z,a1,a2,a3,a4,m1
VA-242-2017-L,2017,2,0,0,0,2,0
VA-243-2017-H,2017,2,0,0,1,1,0
VA-243-2017-L,2017,2,0,0,0,2,0
VA-244-2017-H,2017,2,0,0,0,2,0
VA-244-2017-L,2017,2,0,0,1,1,0
VA-245-2017-H,2017,2,0,0,0,2,0
VA-245-2017-L,2017,2,0,0,0,2,0
VA-246-2017-H,2017,2,0,0,2,0,0
VA-246-2017-L,2017,2,0,0,1,1,0
WV-247-2017-H,2017,2,0,0,2,0,0
WV-247-2017-L,2017,2,0,0,2,0,0
WV-248-2017-H,2017,2,0,0,0,2,0
WV-248-2017-L,2017,2,0,0,2,0,0
WV-249-2017-H,2017,2,0,0,2,0,0
WV-249-2017-L,2017,2,0,0,2,0,0
WV-250-2017-H,2017,2,0,0,2,0,0
WV-250-2017-L,2017,2,0,0,2,0,0
WV-251-2017-H,2017,2,0,0,1,1,0
WV-251-2017-L,2017,2,0,0,0,2,0
WV-252-2017-H,2017,2,0,0,0,0,0
WV-252-2017-L,2017,2,0,0,0,0,0
WV-253-2017-H,2017,2,0,0,0,2,0
WV-253-2017-L,2017,2,0,0,0,2,0
WV-254-2017-H,2017,2,0,0,0,2,0
WV-254-2017-L,2017,2,0,0,1,1,0
WV-255-2017-H,2017,2,0,0,0,0,0
WV-255-2017-L,2017,2,0,0,0,0,0
WV-256-2017-H,2017,2,0,0,0,0,0
WV-256-2017-L,2017,2,0,0,0,2,0
WV-257-2017-H,2017,2,0,0,0,2,0
WV-257-2017-L,2017,2,0,0,0,0,0
WV-258-2017-H,2017,2,0,0,0,0,0
WV-258-2017-L,2017,2,0,0,1,1,0
WV-259-2017-H,2017,2,0,0,0,2,0
WV-259-2017-L,2017,2,0,0,0,0,0
WV-260-2017-H,2017,2,0,0,0,0,0
WV-260-2017-L,2017,2,0,0,0,0,0
WV-261-2017-H,2017,2,0,0,0,0,0
WV-261-2017-L,2017,2,0,0,0,0,0
WV-262-2017-H,2017,2,0,0,0,0,0
WV-262-2017-L,2017,2,0,0,0,0,0
WV-263-2017-H,2017,2,0,0,0,0,0
WV-263-2017-L,2017,2,0,0,0,0,0
WV-264-2017-H,2017,2,0,0,0,0,0
WV-264-2017-L,2017,2,0,0,0,0,0
WV-265-2017-H,2017,2,0,0,0,2,0
WV-265-2017-L,2017,2,0,0,0,2,0
WV-266-2017-H,2017,2,0,0,0,0,0
WV-266-2017-L,2017,2,0,0,0,0,0
WV-267-2017-H,2017,2,0,0,0,0,0
WV-267-2017-L,2017,2,0,0,0,2,0
WV-268-2017-H,2017,2,0,0,0,0,0
WV-268-2017-L,2017,2,0,0,0,2,0
NC-270-2017-H,2017,2,0,0,0,2,0
NC-270-2017-L,2017,2,0,0,0,2,0
NC-271-2017-H,2017,2,0,0,0,1,0
NC-271-2017-L,2017,2,0,0,0,1,0
NC-272-2017-H,2017,2,0,0,0,1,0
NC-272-2017-L,2017,2,0,0,0,2,0
NC-273-2017-H,2017,2,0,0,0,0,0
NC-273-2017-L,2017,2,0,0,0,2,0
NC-274-2017-H,2017,2,0,0,0,2,0
NC-274-2017-L,2017,2,0,0,0,0,0
NC-275-2017-H,2017,2,0,0,0,0,0
NC-275-2017-L,2017,2,0,0,0,2,0
NC-276-2017-H,2017,2,0,0,0,0,0
NC-276-2017-L,2017,2,0,0,0,2,0
NC-277-2017-H,2017,2,0,0,0,0,0
NC-277-2017-L,2017,2,0,0,0,0,0
NC-278-2017-H,2017,2,0,0,0,2,0
NC-278-2017-L,2017,2,0,0,0,2,0
NC-279-2017-H,2017,2,0,0,0,1,0
NC-279-2017-L,2017,2,0,0,0,0,0
NC-280-2017-H,2017,2,0,0,0,2,0
NC-280-2017-L,2017,2,0,0,1,1,0
NC-281-2017-H,2017,2,0,0,0,0,0
NC-281-2017-L,2017,2,0,0,0,2,0
NC-282-2017-H,2017,2,0,0,0,0,0
NC-282-2017-L,2017,2,0,0,0,0,0
NC-283-2017-H,2017,2,0,0,0,0,0
NC-283-2017-L,2017,2,0,0,0,0,0
NC-284-2017-H,2017,2,0,0,0,0,0
NC-284-2017-L,2017,2,0,0,0,1,0
NC-285-2017-H,2017,2,0,0,0,2,0
NC-285-2017-L,2017,2,0,0,0,2,0
NC-286-2017-H,2017,2,0,0,0,0,0
NC-286-2017-L,2017,2,0,0,0,0,0
NC-287-2017-H,2017,2,0,0,0,2,0
NC-287-2017-L,2017,2,0,0,0,2,0
NC-288-2017-H,2017,2,0,0,0,2,0
NC-288-2017-L,2017,2,0,0,0,0,0
NC-289-2017-H,2017,2,0,0,0,2,0
NC-289-2017-L,2017,2,0,0,0,2,0
SC-290-2017-H,2017,2,0,0,0,2,0
SC-290-2017-L,2017,2,0,0,0,2,0
SC-291-2017-H,2017,2,0,0,0,1,0
SC-291-2017-L,2017,2,0,0,0,2,0
SC-292-2017-H,2017,2,0,0,0,2,0
SC-292-2017-L,2017,2,0,0,0,0,0
SC-293-2017-H,2017,2,0,0,0,2,0
SC-293-2017-L,2017,2,0,0,0,2,0
SC-294-2017-H,2017,2,0,0,0,0,0
SC-294-2017-L,2017,2,0,0,0,2,0
SC-295-2017-H,2017,2,0,0,0,2,0
SC-295-2017-L,2017,2,0,0,0,0,0
SC-296-2017-H,2017,2,0,0,0,0,0
SC-296-2017-L,2017,2,0,0,0,2,0
SC-297-2017-H,2017,2,0,0,0,2,0
