Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip
4451830.922,413025.4449,2302295.3,16642612449,1571643284,8260104505,141283.3758,8494.303076,51122.3457,1479979.707,159510.0277,793747.8037,24500.57413,1919.561816,11591.35741,75606.04612,5103.025918,31790.90313,46323.73559,4117.901562,21558.69032,2000000
4447293.219,415190.6746,2297789.889,21217737080,2196568939,11021312804,113122.8064,6228.502974,39211.22333,1309979.127,144384.8943,701936.2576,20660.2242,1645.280304,9545.078357,81037.31057,5573.106005,34398.8257,31417.70042,3133.594736,16212.04029,2000000
4444361.145,412628.125,2296080.024,15244702612,1651442127,8085358553,129697.9983,8083.814046,45796.6937,1262740.166,139454.7761,679063.7956,23172.49569,2168.908645,11356.72614,77037.95095,5280.02129,31786.40671,57497.33488,6579.894921,31065.7535,2000000
4440993.737,410829.149,2295000.883,17056327259,1780958431,9059106958,153440.6153,9456.87823,57913.14627,1365544.637,145766.521,728292.6261,21270.10202,1562.709715,9643.590792,78944.43227,4996.746942,32106.8787,109681.1297,11413.13575,60323.53811,2000000
4441560.286,412875.428,2295519.607,5021762334,500704134.8,2568884360,97301.96299,5674.290737,33877.64099,1082128.857,119551.5852,580650.2812,20186.05646,1644.871539,9525.048857,65144.10721,4579.806343,28075.63538,34539.0322,3509.25004,17670.92362,2000000
4444641.15,411914.0121,2301421.36,10568260899,989053668.7,5134600871,116520.5451,6417.230647,38527.56578,1305586.944,139636.6767,705791.7318,20609.53731,1498.124799,9250.358581,77810.92611,5027.813104,32803.006,55775.2067,4559.368078,22899.03171,2000000
4446004.791,411503.6117,2296856.269,22042533862,2267434124,10919361665,103037.8737,5477.32798,32693.82472,1485605.135,156840.7903,795459.7128,21283.59128,1845.575298,9899.069101,50446.95111,2983.577874,19280.23257,40287.90728,3960.118159,17661.93078,2000000
4446743.021,410845.4996,2302060.669,31936894339,3576730173,17063265844,95147.54255,5409.357689,33034.88499,1192819.228,125088.3111,633952.4579,17577.72513,1294.968448,8119.305015,69683.85456,4774.378622,30289.91698,36014.26614,4461.673173,19600.70456,2000000
4447744.496,411763.1777,2295418.233,30255625084,3104712515,16021288349,129300.6292,6790.283068,44429.24276,1351578.762,141171.9991,719737.9861,19992.30172,1403.700016,9162.065277,80472.8057,5236.283403,35493.49916,66790.20505,5603.354636,32086.8492,2000000
4451415.208,413816.4057,2296999.337,5672399370,638998398.4,2998971844,81271.19776,4489.848798,26941.56265,1313604.058,138684.6623,696625.9876,18388.30671,1377.130272,8117.261188,71975.80156,4655.019157,30241.27391,9880.674662,1415.962975,5250.590189,2000000
4441032.161,410542.6045,2296556.644,14229901593,1427113537,7336206856,117384.087,7257.018811,41487.48843,1243650.418,134912.5762,664051.4814,22442.44088,1775.267667,10544.91826,83969.79278,5471.323447,34622.01155,45068.00861,4564.273262,24182.9635,2000000
4446095.128,413378.2093,2298149.194,12634512739,1371436562,6754242489,116479.0945,6931.820812,40906.23009,1396188.136,149647.3387,742910.8905,23716.15353,2170.134941,11514.10077,84058.49485,5776.671121,35787.4014,40390.91613,5471.732212,24505.88808,2000000
4442776.362,411178.6433,2290334.01,31727822557,3216305179,16649304988,92091.62989,4776.605884,30862.35104,1124545.613,116509.5539,597584.201,16929.42337,1370.590027,7557.252737,67760.20509,4266.692128,28004.10146,33415.74517,2718.697964,15732.5586,2000000
